Time,Time Code,Provinces Name,Provinces Code,Household Access to safe Sanitation (in % of total Household) [HOU.STA.ACSN.ZS],Household Access to Safe Water (in % of total household) [HOU.H2O.ACSN.ZS]
2017,YR2017,"Malaka, Kab.",ID.NT.ML,52.42390442,50.36059189
2017,YR2017,"Manggarai Barat, Kab.",ID.NT.MB,57.78728867,56.7691803
2017,YR2017,"Manggarai Timur, Kab.",ID.NT.MT,81.41356659,32.35105133
2017,YR2017,"Manggarai, Kab.",ID.NT.MA,61.45531464,63.35752487
2017,YR2017,"Nagekeo, Kab.",ID.NT.NA,72.34088898,81.44132233
2017,YR2017,"Ngada, Kab.",ID.NT.NG,83.22693634,79.03972626
2017,YR2017,"Rote Ndao, Kab.",ID.NT.RN,60.61035919,63.35349655
2017,YR2017,"Sabu Raijua, Kab.",ID.NT.SR,70.93558502,51.25405884
2017,YR2017,"Sikka, Kab.",ID.NT.SI,68.50896454,65.31578064
2017,YR2017,"Sumba Barat Daya, Kab.",ID.NT.SM,57.27985382,23.52612305
2017,YR2017,"Sumba Barat, Kab.",ID.NT.SB,43.70182037,52.21884155
2017,YR2017,"Sumba Tengah, Kab.",ID.NT.SU,59.30504227,36.7226944
2017,YR2017,"Sumba Timur, Kab.",ID.NT.ST,52.04698563,57.12726212
2017,YR2017,"Timor Tengah Selatan, Kab.",ID.NT.TS,80.7818985,46.43034363
2017,YR2017,"Timor Tengah Utara, Kab.",ID.NT.TU,73.46482849,61.67220306
2017,YR2017,"Fakfak, Kab.",ID.IB.FA,67.27979279,52.11356354
2017,YR2017,"Kaimana, Kab.",ID.IB.KA,58.55774307,60.11918259
2017,YR2017,"Manokwari Selatan, Kab.",ID.IB.MS,60.22881317,56.73841095
2017,YR2017,"Manokwari, Kab.",ID.IB.MA,75.09566498,69.28227997
2017,YR2017,"Maybrat, Kab.",ID.IB.MY,38.65114594,12.43968964
