Level,Provinces Name,Provinces Code,Time,Time Code,Household Access to Safe Water (in % of total household),Household Access to safe Sanitation (in % of total Household)
"DI Yogyakarta, Prop.","Gunung Kidul, Kab.",ID.YO.GK,2020,YR2020,69.45505524,92.54564667
"DI Yogyakarta, Prop.","Kulon Progo, Kab.",ID.YO.KP,2011,YR2011,70.85335,78.81615
"DI Yogyakarta, Prop.","Kulon Progo, Kab.",ID.YO.KP,2012,YR2012,76.75,80.17
"DI Yogyakarta, Prop.","Kulon Progo, Kab.",ID.YO.KP,2013,YR2013,69.83811951,78.77961731
"DI Yogyakarta, Prop.","Kulon Progo, Kab.",ID.YO.KP,2014,YR2014,75.95562744,82.79556274
"DI Yogyakarta, Prop.","Kulon Progo, Kab.",ID.YO.KP,2015,YR2015,81.2257843,80.62084198
"DI Yogyakarta, Prop.","Kulon Progo, Kab.",ID.YO.KP,2016,YR2016,72.32836151,82.02167511
"DI Yogyakarta, Prop.","Kulon Progo, Kab.",ID.YO.KP,2017,YR2017,74.01351929,82.60684204
"DI Yogyakarta, Prop.","Kulon Progo, Kab.",ID.YO.KP,2018,YR2018,77.92632294,84.91832733
"DI Yogyakarta, Prop.","Kulon Progo, Kab.",ID.YO.KP,2019,YR2019,69.01429749,86.22447968
"DI Yogyakarta, Prop.","Kulon Progo, Kab.",ID.YO.KP,2020,YR2020,81.67514801,87.98767853
"DI Yogyakarta, Prop.","Sleman, Kab.",ID.YO.SL,2011,YR2011,81.9278,67.72771
"DI Yogyakarta, Prop.","Sleman, Kab.",ID.YO.SL,2012,YR2012,80.8,65.64
"DI Yogyakarta, Prop.","Sleman, Kab.",ID.YO.SL,2013,YR2013,82.24112701,68.23472595
"DI Yogyakarta, Prop.","Sleman, Kab.",ID.YO.SL,2014,YR2014,78.56483459,71.5486145
"DI Yogyakarta, Prop.","Sleman, Kab.",ID.YO.SL,2015,YR2015,78.46097565,75.26225281
"DI Yogyakarta, Prop.","Sleman, Kab.",ID.YO.SL,2016,YR2016,83.38271332,74.9520874
"DI Yogyakarta, Prop.","Sleman, Kab.",ID.YO.SL,2017,YR2017,76.63748169,79.33586884
"DI Yogyakarta, Prop.","Sleman, Kab.",ID.YO.SL,2018,YR2018,79.31626129,83.30556488
"DI Yogyakarta, Prop.","Sleman, Kab.",ID.YO.SL,2019,YR2019,81.6230011,75.9074173
"DI Yogyakarta, Prop.","Sleman, Kab.",ID.YO.SL,2020,YR2020,83.30200195,80.1399765
"DKI Jakarta, Prop.","Adm. Kepulauan Seribu, Kab.",ID.JK.KS,2011,YR2011,71.38578,55.65096
"DKI Jakarta, Prop.","Adm. Kepulauan Seribu, Kab.",ID.JK.KS,2012,YR2012,76.17,56
"DKI Jakarta, Prop.","Adm. Kepulauan Seribu, Kab.",ID.JK.KS,2013,YR2013,80.80201721,50.40681839
"DKI Jakarta, Prop.","Adm. Kepulauan Seribu, Kab.",ID.JK.KS,2014,YR2014,86.70012665,79.5483017
"DKI Jakarta, Prop.","Adm. Kepulauan Seribu, Kab.",ID.JK.KS,2015,YR2015,84.88411713,81.01567841
"DKI Jakarta, Prop.","Adm. Kepulauan Seribu, Kab.",ID.JK.KS,2016,YR2016,98.36037445,71.32365417
"DKI Jakarta, Prop.","Adm. Kepulauan Seribu, Kab.",ID.JK.KS,2017,YR2017,78.87397766,82.20323944
"DKI Jakarta, Prop.","Adm. Kepulauan Seribu, Kab.",ID.JK.KS,2018,YR2018,90.51428223,86.88980103
"DKI Jakarta, Prop.","Adm. Kepulauan Seribu, Kab.",ID.JK.KS,2019,YR2019,90.59706116,82.19987488
